"#"	"Ticker"	"Company"	"Transfer Agent"	"Online Purchase?"	"Investor Relations"	"IR Phone #"
526	"GME"	"Gamestop"	"Computershare"	"Yes"	"ir@gamestop.com"	"(817) 424-2001"
102	"MMM"	"3M"	"EQ Shareowner Services"	"No"	"investorrelations@3m.com"	"(800) 762-2596"
446	"AMRK"	"A-Mark Precious Metals"	"American Stock Transfer & Trust Co."	"No"	"sreiner@amark.com"	"(310) 587-1410"
86	"ABT"	"Abbott Laboratories"	"Computershare"	"No"	""	"(224) 667-8945"
63	"ABBV"	"AbbVie"	"EQ Shareowner Services"	"Yes"	""	"(877) 881-5970"
481	"ASO"	"Academy Sports and Outdoors"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
396	"ATVI"	"Activision Blizzard"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"ir@activision.com"	"(866) 804-4314"
235	"ADBE"	"Adobe"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"ir@adobe.com"	"(408) 536-4700"
337	"AAP"	"Advance Auto Parts"	"Computershare"	"Yes"	"invrelations@advance-auto.com"	"(919) 227-5466"
226	"AMD"	"Advanced Micro Devices (AMD)"	"Computershare"	"Yes"	"investor.relations@amd.com"	"(408) 749-3124"
260	"ACM"	"AECOM"	"Computershare"	"No"	"aecominvestorrelations@aecom.com"	"(213) 593-8208"
333	"AES"	"AES"	"Computershare"	"Yes"	"invest@aes.com"	"(703) 682-6399"
161	"AFL"	"Aflac"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"shareholder@aflac.com"	"(800) 235-2667"
334	"AGCO"	"AGCO"	"Computershare"	"Yes"	"greg.peterson@agcocorp.com"	"(800) 962-4284"
350	"APD"	"Air Products & Chemicals"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"hiehmh@airproducts.com"	"(844) 318-0129"
52	"ACI"	"Albertsons"	"American Stock Transfer & Trust Co."	"No"	"investor-relations@albertsons.com"	""
312	"AA"	"Alcoa"	"Computershare"	"No"	""	"(888) 985-2058"
318	"Y"	"Alleghany"	"Computershare"	"No"	""	""
66	"ALL"	"Allstate"	"EQ Shareowner Services"	"Yes"	"invrel@allstate.com"	"(800) 416-8803"
345	"ALLY"	"Ally Financial"	"Computershare"	"No"	"investor.relations@ally.com"	"(800) 522-6645"
8	"GOOGL"	"Alphabet"	"Computershare"	"Yes"	"investor-relations@abc.xyz"	""
355	"ATUS"	"Altice USA"	"American Stock Transfer & Trust Co."	"No"	"nick.brown@alticeusa.com"	""
165	"MO"	"Altria Group"	"Computershare"	"Yes"	""	"(804) 484-8222"
2	"AMZN"	"Amazon"	"Computershare"	"Yes"	"amazon-ir@amazon.com"	""
500	"AEE"	"Ameren"	"EQ Shareowner Services"	"Yes"	"invest@ameren.com"	"(800) 255-2237"
114	"AAL"	"American Airlines Group"	"American Stock Transfer & Trust Co."	"No"	"investor.relations@aa.com"	"(682) 278-0999"
219	"AEP"	"American Electric Power"	"Computershare"	"Yes"	"rkowens-paul@aep.com"	"(800) 237-2667"
85	"AXP"	"American Express"	"Computershare"	"Yes"	"ir@aexp.com"	"(212) 640-2000"
251	"N/a"	"American Family Insurance Group"	"Non-public shares"	"N/a"	""	""
454	"AFG"	"American Financial Group"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"afginvestorrelations@amfin.com"	"(513) 579-6739"
67	"AIG"	"American International Group"	"EQ Shareowner Services"	"No"	""	""
375	"AMT"	"American Tower"	"Computershare"	"No"	"investor.relations@americantower.com"	""
277	"AMP"	"Ameriprise Financial"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"investor.relations@ampf.com"	"(800) 862-7919"
10	"ABC"	"AmerisourceBergen"	"Computershare"	"Yes"	"investorrelations@amerisourcebergen.com"	"(610) 727-3693"
140	"AMGN"	"Amgen"	"American Stock Transfer & Trust Co."	"No"	"investor.relations@amgen.com"	"(805) 447-1060"
341	"APH"	"Amphenol"	"Computershare"	"No"	"ir@amphenol.com"	"(203) 265-882"
463	"ADI"	"Analog Devices"	"Computershare"	"Yes"	"investor.relations@analog.com"	"(781) 461-3282"
295	"ANDE"	"Andersons"	"Computershare"	"Yes"	"investorrelations@andersonsinc.com"	"(419) 897-6715"
20	"ELV"	"Anthem"	"Computershare"	"Yes"	"stephen.tanal@elevancehealth.com"	"(800) 985-0999"
431	"APA"	"APA Corp"	"EQ Shareowner Services"	"No"	"gary.clark@apachecorp.com"	"(281) 302-2286"
386	"APO"	"Apollo Global Management"	"American Stock Transfer & Trust Co."	"No"	"ir@apollo.com"	""
3	"AAPL"	"Apple"	"Computershare"	"No"	""	"(877) 360-5390"
156	"AMAT"	"Applied Materials"	"Computershare"	"Yes"	" investor_relations@amat.com"	"(408) 748-5227"
314	"ARMK"	"Aramark"	"Computershare"	"Yes"	""	""
38	"ADM"	"Archer Daniels Midland"	"Computershare"	"No"	"investorrelations@adm.com"	""
452	"ARNC"	"Arconic"	"Computershare"	"Yes"	"investor.relations@arconic.com"	"(412) 315-2984"
498	"ARKO"	"ARKO Corp"	"Continental Stock Transfer & Trust Co."	"No"	"investors@gpminvestments.com"	""
104	"ARW"	"Arrow Electronics"	"EQ Shareowner Services"	"No"	"investor@arrow.com"	"(303) 824-4544"
422	"AJG"	"Arthur J. Gallagher"	"Computershare"	"Yes"	"investor_relations@ajg.com"	"(630) 285-3661"
360	"ABG"	"Asbury Automotive Group"	"Computershare"	"No"	"ir@asburyauto.com"	"(770) 418-8211"
325	"AIZ"	"Assurant"	"Computershare"	"Yes"	""	""
13	"T"	"AT&T"	"Computershare"	"Yes"	"investr@att.com"	""
339	"N/a"	"Auto-Owners Insurance"	"Non-public shares"	"N/a"	""	""
421	"ALV"	"Autoliv"	"Computershare"	"Yes"	""	""
242	"ADP"	"Automatic Data Processing"	"EQ Shareowner Services"	"No"	"investor.mail@adp.com"	""
141	"AN"	"AutoNation"	"Computershare"	"Yes"	""	""
249	"AZO"	"AutoZone"	"Computershare"	"No"	"investor.relations@autozone.com"	""
457	"AVTR"	"Avantor"	"American Stock Transfer & Trust Co."	"No"	"christina.jones@avantorsciences.com"	""
412	"AVY"	"Avery Dennison"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	""	""
378	"CAR"	"Avis Budget Group"	"Computershare"	"Yes"	""	""
180	"AVT"	"Avnet"	"American Stock Transfer & Trust Co."	"No"	""	""
170	"BKR"	"Baker Hughes"	"Computershare"	"Yes"	"investor.relations@bakerhughes.com"	""
272	"BALL"	"Ball Corp"	"Computershare"	"No"	"scott@ball.com"	""
36	"BAC"	"Bank of America"	"Computershare"	"Yes"	"i_r@bofa.com"	""
229	"BK"	"Bank of New York Mellon"	"EQ Shareowner Services"	"Yes"	""	""
435	"BBWI"	"Bath & Body Works"	"American Stock Transfer & Trust Co."	"Yes"	""	""
292	"BAX"	"Baxter International"	"Computershare"	"No"	"global_corp_investor_relations@baxter.com"	""
478	"BECN"	"Beacon Roofing Supply"	"Computershare"	"No"	""	""
173	"BDX"	"Becton Dickinson"	"Computershare"	"Yes"	""	""
381	"BBBY"	"Bed Bath & Beyond"	"American Stock Transfer & Trust Co."	"No"	""	""
7	"BRK.A"	"Berkshire Hathaway"	"EQ Shareowner Services"	"No"	"berkshire@berkshirehathaway.com"	""
271	"BERY"	"Berry Global Group"	"Computershare"	"No"	""	""
68	"BBY"	"Best Buy"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"investorrelations@bestbuy.com"	""
338	"BIIB"	"Biogen"	"Computershare"	"No"	"ir@biogen.com"	""
221	"BJ"	"BJ's Wholesale Club"	"American Stock Transfer & Trust Co."	"No"	""	""
184	"BLK"	"BlackRock"	"Computershare"	"No"	"invrel@blackrock.com"	""
159	"BX"	"Blackstone"	"Computershare"	"No"	"blackstoneshareholderrelations@blackstone.com"	""
208	"SQ"	"Block"	"Computershare"	"No"	"ir@block.xyz"	""
60	"BA"	"Boeing"	"Computershare"	"No"	""	""
432	"BCC"	"Boise Cascade"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
340	"BKNG"	"Booking Holdings"	"American Stock Transfer & Trust Co."	"No"	""	""
436	"BAH"	"Booz Allen Hamilton Holding"	"Computershare"	"Yes"	""	""
244	"BWA"	"BorgWarner"	"Computershare"	"Yes"	""	""
319	"BSX"	"Boston Scientific"	"Computershare"	"No"	"bsxinvestorrelations@bsci.com"	""
468	"BHF"	"Brighthouse Financial"	"Computershare"	"Yes"	""	""
82	"BMY"	"Bristol-Myers Squibb"	"EQ Shareowner Services"	"Yes"	"investor.relations@bms.com"	""
128	"AVGO"	"Broadcom"	"Computershare"	"Yes"	"investor.relations@broadcom.com"	""
176	"BLDR"	"Builders FirstSource"	"Computershare"	"No"	""	""
377	"BURL"	"Burlington Stores"	"American Stock Transfer & Trust Co."	"No"	""	""
154	"CHRW"	"C.H. Robinson Worldwide"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
335	"CZR"	"Caesars Entertainment"	"Continental Stock Transfer & Trust Co."	"No"	""	""
409	"CPB"	"Campbell Soup"	"Computershare"	"Yes"	""	""
475	"CWH"	"Camping World Holdings"	"American Stock Transfer & Trust Co."	"No"	""	""
108	"COF"	"Capital One Financial"	"Computershare"	"No"	"investorrelations@capitalone.com"	""
15	"CAH"	"Cardinal Health"	"Computershare"	"Yes"	"investor.relations@cardinalhealth.com"	""
398	"CG"	"Carlyle Group"	"American Stock Transfer & Trust Co."	"No"	""	""
174	"KMX"	"CarMax"	"American Stock Transfer & Trust Co."	"No"	""	""
169	"CARR"	"Carrier Global"	"Computershare"	"Yes"	"corpsec@carrier.com"	""
290	"CVNA"	"Carvana"	"American Stock Transfer & Trust Co."	"No"	""	""
445	"CASY"	"Casey's General Stores"	"Computershare"	"No"	""	""
73	"CAT"	"Caterpillar"	"Computershare"	"Yes"	"catshareservices@cat.com"	""
126	"CBRE"	"CBRE Group"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"investorrelations@cbre.com"	""
166	"CDW"	"CDW"	"Computershare"	"No"	"investorrelations@cdw.com"	""
406	"CE"	"Celanese"	"Computershare"	"Yes"	""	""
26	"CNC"	"Centene"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"investors@centene.com"	""
414	"CNP"	"CenterPoint Energy"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"investor_relations@centerpointenergy.com"	""
492	"CF"	"CF Industries Holdings"	"Computershare"	"Yes"	"investorrelations@cfindustries.com"	""
188	"SCHW"	"Charles Schwab"	"EQ Shareowner Services"	"No"	"investor.relations@schwab.com"	""
69	"CHTR"	"Charter Communications"	"Computershare"	"No"	"investor@charter.com"	""
233	"LNG"	"Cheniere Energy"	"Computershare"	"No"	"investor@cheniere.com"	""
16	"CVX"	"Chevron"	"Computershare"	"Yes"	""	""
394	"CHWY"	"Chewy"	"American Stock Transfer & Trust Co."	"No"	""	""
450	"CMG"	"Chipotle Mexican Grill"	"EQ Shareowner Services"	"No"	"ir@chipotle.com"	""
95	"CHS"	"Chico's FAS, Inc."	"EQ Shareowner Services"	"No"	""	""
12	"CI"	"Cigna"	"Computershare"	"Yes"	"ralph.giacobbe@cigna.com"	""
367	"CINF"	"Cincinnati Financial"	"EQ Shareowner Services"	"Yes"	""	""
470	"CTAS"	"Cintas"	"EQ Shareowner Services"	"No"	""	""
74	"CSCO"	"Cisco Systems"	"Computershare"	"Yes"	"investor-relations@cisco.com"	""
44	"C"	"Citigroup"	"Computershare"	"No"	"investorrelations@citi.com"	""
